,Unnamed: 0,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
0,0,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,4,4,1,1,6,1,1,1,1,1,2,1,53,1,4,1,4,1,1,5,1,4,4.0,1.0,1.0,1.0,1.0,1.0
1,1,1,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,5,4,1,2,6,2,2,1,1,1,5,1,39,1,4,3,1,1,1,6,2,6,5.0,2.0,1.0,1.0,1.0,2.0
2,2,1,1,3,1,3,1,1,3,1,1,1,1,1,1,1,3,3,3,1,3,5,1,3,1,1,1,3,1,24,1,3,3,2,1,1,4,3,3,3.0,3.0,1.0,1.0,1.0,1.0
3,3,1,1,3,1,3,1,1,3,1,1,1,1,1,1,1,3,4,4,1,3,5,1,3,1,1,1,3,1,24,1,3,3,3,1,1,4,3,4,4.0,3.0,1.0,1.0,1.0,1.0
4,4,1,2,1,1,3,1,1,4,1,1,1,1,1,1,2,1,3,3,1,4,4,1,4,1,1,1,3,2,48,1,3,2,3,1,1,3,2,3,3.0,3.0,1.0,1.0,1.0,1.0
5,5,1,2,3,1,3,1,1,1,1,1,1,1,1,1,2,1,3,3,1,1,6,1,2,1,1,1,3,1,45,3,3,2,1,1,1,6,1,4,3.0,1.0,1.0,2.0,1.0,1.0
6,6,1,1,3,1,3,1,1,2,1,1,1,1,1,1,4,2,4,4,1,2,6,1,2,1,1,1,3,2,50,2,4,2,4,1,1,5,2,4,4.0,2.0,1.0,2.0,1.0,1.0
7,7,1,1,3,1,4,1,1,1,2,1,1,1,1,1,2,1,5,5,1,4,6,2,2,1,1,1,4,1,49,2,4,3,4,1,1,6,1,5,4.0,2.0,1.0,2.0,1.0,2.0
8,8,1,2,1,1,4,1,1,3,1,1,1,1,1,1,1,3,3,4,1,3,5,2,3,1,1,1,4,2,40,2,4,3,4,1,1,6,3,4,4.0,3.0,1.0,2.0,1.0,2.0
9,9,1,1,4,1,4,1,1,3,1,1,1,1,1,1,2,3,4,4,1,3,5,1,3,1,1,1,4,2,42,2,4,3,2,1,1,5,3,4,4.0,3.0,1.0,2.0,1.0,1.0
