,Leadersex,Intelligent,Trustworthy,Efficient,Skilful,Pity,Typeofcompany,Replacementleader,Disgusted,Responsaatribu,Proud,Hateful,Capable,Resentful,Wellintentioned,Inspired,Sincere,Frustrated,Simpaty,Respectful,Molestia,Assessmentleader,Confident,Friendly,Goodnatured,Participantsex,Envious,Uneasy,Angry,Levelofeducation,Ashamed,Desprecio,Age,Jealous,Warm,Admiring,Maritalstatus,Competent
0,1,2,1,4,4,1,1,4,1,5,1,1,4,1,1,1,1,1,1,1,1,6,4,1,1,1,1,1,1,1,1,1,53,1,1,1,2,4
1,1,5,3,6,5,1,1,1,1,6,1,1,5,1,2,1,2,1,2,1,1,6,4,2,1,1,1,1,1,4,1,1,39,1,1,1,1,4
2,1,3,3,3,3,1,1,2,1,4,1,1,3,1,3,1,3,1,1,1,1,5,3,3,3,1,1,1,1,3,1,1,24,1,3,1,1,3
3,1,3,3,4,3,1,1,3,1,4,1,1,4,1,3,1,3,1,1,1,1,5,3,3,3,1,1,1,1,3,1,1,24,1,3,1,1,4
4,1,3,2,3,3,1,1,3,1,3,1,1,3,1,4,1,2,1,1,1,1,4,3,4,4,2,1,1,1,1,1,1,48,1,1,2,2,3
5,1,3,2,4,3,1,1,1,1,6,1,1,3,1,1,1,1,1,1,3,1,6,3,2,1,2,1,1,1,3,1,1,45,1,1,1,2,3
6,1,3,2,4,3,1,1,4,1,5,1,1,4,1,2,1,2,1,1,2,1,6,4,2,2,1,1,1,1,3,1,1,50,1,2,2,4,4
7,1,4,3,5,4,1,1,4,1,6,1,1,5,1,4,2,1,1,2,2,1,6,4,2,1,1,1,1,1,3,1,1,49,1,1,1,2,5
8,1,4,3,4,4,1,1,4,1,6,1,1,3,1,3,1,3,1,2,2,1,5,4,3,3,2,1,1,1,1,1,1,40,1,3,2,1,4
9,1,4,3,4,4,1,1,2,1,5,1,1,4,1,3,1,3,1,1,2,1,5,4,3,3,1,1,1,1,4,1,1,42,1,3,2,2,4
10,1,2,2,3,3,1,1,4,1,4,1,1,3,1,2,2,2,1,2,2,1,5,3,2,2,1,1,1,1,3,1,1,42,1,2,2,2,3
11,1,3,2,3,3,1,1,3,1,4,1,1,3,1,3,2,2,1,2,2,1,5,3,2,2,2,1,2,1,2,1,1,43,1,2,1,1,3
12,1,4,2,3,3,1,1,2,1,3,1,1,3,1,3,1,2,1,1,3,1,3,3,3,2,2,1,1,1,5,1,1,30,1,2,2,1,3
13,1,3,3,3,4,1,1,2,1,4,1,1,4,1,3,2,2,1,3,2,1,4,3,2,2,1,1,1,1,3,1,1,47,1,2,2,2,4
14,1,2,2,2,2,1,1,5,1,3,2,1,3,1,3,1,3,1,2,2,1,5,3,2,3,2,1,2,1,2,1,1,39,1,2,1,2,2
15,1,2,2,2,2,1,1,5,1,3,2,1,3,1,3,1,3,1,2,2,1,5,3,2,3,2,1,2,1,0,1,1,39,1,2,1,2,2
16,1,4,3,4,4,1,1,1,1,6,1,1,4,1,3,2,3,1,1,2,1,6,5,2,3,2,1,1,1,1,1,1,49,1,3,2,4,3
17,1,3,2,4,4,1,1,4,1,4,2,1,4,1,2,2,2,1,1,2,1,5,4,2,2,2,1,1,1,3,1,1,47,1,1,2,2,4
18,1,3,2,3,3,1,1,4,1,4,1,1,1,1,3,2,2,1,2,2,1,5,4,3,2,2,1,2,1,3,1,1,37,1,1,2,1,3
19,1,3,2,3,3,1,1,3,1,4,1,1,4,1,2,2,2,1,2,2,1,4,4,3,2,1,1,2,1,2,1,1,40,1,2,2,2,3
20,1,5,3,4,4,1,1,2,1,5,1,1,3,1,3,2,3,1,2,2,1,6,3,2,2,2,1,2,1,2,1,1,46,1,2,2,2,3
21,1,4,3,4,4,1,1,2,1,5,1,1,4,1,4,2,3,1,2,3,1,5,5,2,2,2,1,1,1,2,1,1,27,1,2,2,1,4
22,1,4,4,3,4,1,1,3,1,4,1,1,4,1,4,1,4,1,3,2,1,4,3,2,2,1,1,2,1,5,1,1,46,1,3,3,2,4
23,1,4,2,4,4,1,1,1,1,4,1,1,4,1,2,2,2,1,1,3,1,5,5,3,2,2,1,1,1,2,1,1,41,1,2,3,2,4
24,1,3,3,4,4,1,1,3,1,5,2,1,3,1,3,2,3,1,2,3,1,5,4,1,2,1,1,1,1,4,1,1,41,1,2,2,2,4
25,1,4,3,4,3,1,1,2,1,3,1,1,3,1,3,2,2,1,2,2,1,4,3,3,2,2,1,2,1,2,1,1,35,1,2,3,2,3
26,1,4,3,3,4,1,1,3,1,6,1,1,3,1,3,3,3,1,2,3,1,6,3,3,3,2,1,2,1,3,1,1,36,1,2,1,2,3
27,1,3,3,3,3,1,1,2,1,4,2,1,3,1,3,2,3,1,2,2,1,4,3,3,3,2,1,2,1,1,1,1,50,1,3,2,4,3
28,1,4,3,5,4,1,1,1,1,6,1,1,4,1,3,3,3,1,1,4,1,4,5,3,3,2,1,1,1,5,1,1,41,1,3,1,2,5
29,1,4,3,5,4,1,1,1,1,6,1,1,4,1,3,3,3,1,1,4,1,4,5,3,3,2,1,1,1,5,1,1,41,1,3,1,2,5
30,1,3,5,5,5,1,1,1,1,6,1,1,3,1,4,1,4,1,2,2,1,6,4,3,3,1,1,3,1,4,1,1,55,1,2,3,1,4
31,1,4,4,4,4,1,1,1,1,4,2,1,4,1,3,2,4,1,2,3,1,4,4,4,4,2,1,1,1,4,1,1,50,1,4,2,4,4
32,1,4,3,5,4,1,1,3,1,5,1,1,4,1,2,3,2,1,2,3,1,5,4,2,2,2,1,1,1,1,1,1,46,1,2,3,2,4
33,1,5,3,5,5,1,1,2,1,6,1,1,5,1,3,3,3,1,2,3,1,6,5,3,3,1,1,1,1,4,1,1,36,1,2,3,1,5
34,1,3,3,5,4,1,1,3,1,4,2,1,5,1,3,2,3,1,2,3,1,5,4,3,3,1,1,2,1,4,1,1,53,1,3,2,2,5
35,1,5,3,5,5,1,1,3,1,5,1,1,5,1,4,3,3,1,1,3,1,6,3,3,3,1,1,1,1,4,1,1,23,1,3,3,1,5
36,1,4,4,3,3,1,1,2,1,4,3,1,3,1,3,1,3,1,3,3,1,4,3,4,3,2,1,1,1,4,1,1,37,1,3,3,2,3
