,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
200,2,2,3,1,5,2,1,2,3,1,1,1,1,1,2,2,4,5,1,2,5,2,2,1,1,1,5,4,44,4,5,3,2,2,1,6,2,5,4,4,1,4,1,3
201,2,1,2,1,5,2,1,5,3,2,1,2,1,1,4,5,5,5,1,5,3,5,5,1,1,1,5,4,45,3,5,5,3,1,1,2,5,5,2,2,2,3,2,2
202,3,1,1,1,3,2,1,2,3,3,1,1,1,1,2,3,2,3,1,2,5,2,3,1,1,1,3,3,34,3,3,2,2,1,1,6,2,4,6,4,1,4,2,3
203,1,2,3,1,5,2,1,2,3,2,1,2,1,1,2,2,5,5,1,4,6,3,3,1,1,1,5,5,38,4,5,4,3,1,1,4,2,5,4,3,1,4,2,2
204,3,1,3,1,5,2,1,4,3,2,1,2,1,1,1,4,5,4,1,4,5,3,4,1,1,1,6,3,40,4,4,4,2,1,1,4,3,5,4,3,1,2,1,1
205,3,1,3,1,5,2,1,4,4,1,1,2,1,1,1,4,5,4,1,4,5,3,4,1,1,1,5,4,32,4,4,5,3,2,1,4,4,5,5,3,3,3,3,3
206,4,1,3,1,5,1,1,5,1,3,1,2,2,1,2,5,4,5,1,4,4,3,4,1,1,1,5,4,62,5,5,4,3,1,1,4,5,3,3,2,1,2,1,2
207,4,2,1,1,5,1,1,2,3,2,1,1,2,1,1,2,4,4,1,4,6,3,3,1,1,1,3,4,34,5,5,4,2,1,1,5,1,5,5,4,1,4,3,3
208,4,2,3,1,6,1,1,5,5,1,1,1,2,1,2,5,2,3,1,4,6,3,5,1,1,1,5,4,35,4,3,3,3,2,1,6,2,5,6,4,1,5,2,4
209,4,2,4,1,5,2,1,3,4,4,1,2,1,1,2,3,5,3,1,4,5,3,3,1,1,1,6,3,35,4,4,3,1,2,1,5,4,3,5,5,1,4,1,3
