Participantsex,Leadersex,Group,Typeofcompany,Maniexp1,Maniexp2,VARCOMPETENCE,VARWARMTH,VARADMIRATION,VARENVY,VARDISGUST,VARRECASSESSMENT,VARRECREPLACEMENTLEADER,VARRECRESPONSAATRIB,Assessmentleader,Responsaatribu,Replacementleader,Competent,Confident,Capable,Efficient,Intelligent,Skilful,Friendly,Wellintentioned,Trustworthy,Warm,Goodnatured,Sincere,Jealous,Envious,Admiring,Proud,Respectful,Inspired,Uneasy,Angry,Desprecio,Resentful,Molestia,Disgusted,Hateful,Frustrated,Ashamed,Pity,Simpaty,Maritalstatus,Age,Province,Nationality,Levelofeducation,Profession
1,1,1,1,5,5,3.66666666666667,1,1,1,1,1,3,2,6,5,4,4,4,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,53,León,Española,1,Jardinero
1,1,1,1,6,6,4.83333333333333,1.83333333333333,1,1,1,1,6,1,6,6,1,4,4,5,6,5,5,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,39,Madrid,Española,4,IngenierodeOrganización
1,1,1,1,5,5,3,3,1,1,1,2,5,3,5,4,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,Vizcaya,española,3,
1,1,1,1,5,4,3.5,3,1,1,1,2,4,3,5,4,3,4,3,4,4,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,Madrid,Español,3,Socorrista
2,1,1,1,4,3,3,2.83333333333333,1.2,1,1,3,4,4,4,3,3,3,3,3,3,3,3,4,4,2,1,4,2,1,1,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,2,48,León,Española,1,Limpidora
2,1,1,1,3,3,3.16666666666667,1.33333333333333,1.4,1,1,1,6,1,6,6,1,3,3,3,4,3,3,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,45,Madrid,española,3,auxiliar
1,1,1,1,5,5,3.66666666666667,2,1.4,1,1,1,3,2,6,5,4,4,4,4,4,3,3,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,50,Valencia,Española,3,ObreroTéxtil
1,1,1,1,5,5,4.5,2,1.4,1,1,1,3,1,6,6,4,5,4,5,5,4,4,2,4,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,49,Cádiz,español,3,tecnicofarmaceutico
2,1,1,1,5,5,3.83333333333333,3,1.4,1,1,2,3,1,5,6,4,4,4,3,4,4,4,3,3,3,3,3,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,40,Alava,Española,1,
1,1,1,1,4,5,4,3,1.4,1,1,2,5,2,5,5,2,4,4,4,4,4,4,3,3,3,3,3,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,42,Barcelona,español,4,Informática
1,1,1,1,4,3,2.83333333333333,2,1.6,1,1,2,3,3,5,4,4,3,3,3,3,2,3,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,42,Barcelona,española,3,logistica
2,1,1,1,3,3,3,2.16666666666667,1.6,1,1,2,4,3,5,4,3,3,3,3,3,3,3,2,3,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,43,Cádiz,colombia,2,encargada
2,1,1,1,5,3,3.16666666666667,2.33333333333333,1.6,1,1,4,5,4,3,3,2,3,3,3,3,4,3,3,3,2,2,2,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,30,Valencia,española,5,Psicóloga
1,1,1,1,4,4,3.5,2.33333333333333,1.6,1,1,3,5,3,4,4,2,4,3,4,3,3,4,2,3,3,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,2,47,Valladolid,española,3,funcionario
2,1,1,1,4,5,2.33333333333333,2.5,1.6,1,1,2,2,4,5,3,5,2,3,3,2,2,2,2,3,2,2,3,3,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,39,Barcelona,Española,2,tecnicodelaboratorio
2,1,1,1,4,5,2.33333333333333,2.5,1.6,1,1,2,2,4,5,3,5,2,3,3,2,2,2,2,3,2,2,3,3,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,39,Porfavorseleccionaprovincia,,0,
2,1,1,1,6,6,4,2.83333333333333,1.6,1,1,1,6,1,6,6,1,3,5,4,4,4,4,2,3,3,3,3,3,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,49,Ceuta,Española,1,AuxiliardeLimpieza
2,1,1,1,6,5,3.83333333333333,1.83333333333333,1.8,1,1,2,3,3,5,4,4,4,4,4,4,3,4,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,47,León,Española,3,Funcionaria
2,1,1,1,6,4,2.83333333333333,2.16666666666667,1.8,1,1,2,3,3,5,4,4,3,4,1,3,3,3,3,3,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,37,Murcia,española,3,informatica
1,1,1,1,4,4,3.33333333333333,2.16666666666667,1.8,1,1,3,4,3,4,4,3,3,4,4,3,3,3,3,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,40,Madrid,española,2,administrativo
2,1,1,1,6,5,3.66666666666667,2.5,1.8,1,1,1,5,2,6,5,2,3,3,3,4,5,4,2,3,3,2,2,3,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,46,Valladolid,española,2,carnicera
2,1,1,1,5,5,4.16666666666667,2.66666666666667,1.8,1,1,2,5,2,5,5,2,4,5,4,4,4,4,2,4,3,2,2,3,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,27,Pontevedra,Española,2,operario
1,1,1,1,5,5,3.66666666666667,3.16666666666667,1.8,1,1,3,4,3,4,4,3,4,3,4,3,4,4,2,4,4,3,2,4,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,3,2,46,Valladolid,española,5,funcionariodefensa
2,1,1,1,6,5,4.16666666666667,2.16666666666667,2,1,1,2,6,3,5,4,1,4,5,4,4,4,4,3,2,2,2,2,2,1,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,41,LasPalmas,española,2,auxiliaradministrativo
1,1,1,1,5,4,3.66666666666667,2.33333333333333,2,1,1,2,4,2,5,5,3,4,4,3,4,3,4,1,3,3,2,2,3,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,2,2,41,ACoruña,Española,4,Maestro
2,1,1,1,3,4,3.33333333333333,2.5,2,1,1,3,5,4,4,3,2,3,3,3,4,4,3,3,3,3,2,2,2,1,1,3,1,2,2,2,1,1,1,1,1,,1,1,1,2,2,35,Toledo,ESPAÑOLA,2,ADMINISTRACION
2,1,1,1,5,5,3.33333333333333,2.83333333333333,2,1,1,1,4,1,6,6,3,3,3,3,3,4,4,3,3,3,2,3,3,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,2,2,36,Cádiz,española,3,administrativa
2,1,1,1,4,5,3,3,2,1,1,3,5,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,4,50,Alava,Española,1,
2,1,1,1,6,6,4.5,3,2,1,1,3,6,1,4,6,1,5,5,4,5,4,4,3,3,3,3,3,3,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,41,Vizcaya,española,5,pedagoga
2,1,1,1,6,6,4.6,3,2,1,1,3,6,1,4,6,1,5,5,4,5,4,,3,3,3,3,3,3,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,41,Vizcaya,ESPAÑOLA,5,PEDAGOGA
1,1,1,1,4,3,4,3.5,2,1,1,1,6,1,6,6,1,4,4,3,5,3,5,3,4,5,2,3,4,1,1,3,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,55,Madrid,españa,4,corrector
2,1,1,1,4,4,4,3.83333333333333,2,1,1,3,6,3,4,4,1,4,4,4,4,4,4,4,3,4,4,4,4,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,2,4,50,Madrid,española,4,Docente
2,1,1,1,5,4,4.16666666666667,2.16666666666667,2.2,1,1,2,4,2,5,5,3,4,4,4,5,4,4,2,2,3,2,2,2,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,2,2,46,Alicante,Española,1,azafatadecongresos
1,1,1,1,6,6,5,2.83333333333333,2.2,1,1,1,5,1,6,6,2,5,5,5,5,5,5,3,3,3,2,3,3,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,2,1,36,Madrid,Española,4,IngenieroIndustrial
1,1,1,1,6,5,4.33333333333333,3,2.2,1,1,2,4,3,5,4,3,5,4,5,5,3,4,3,3,3,3,3,3,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,1,2,2,53,Ceuta,Española,4,Psicólogo
1,1,1,1,5,5,4.66666666666667,3.16666666666667,2.2,1,1,1,4,2,6,5,3,5,3,5,5,5,5,3,4,3,3,3,3,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,23,ACoruña,Española,4,Profesordebaile
2,1,1,1,4,4,3.16666666666667,3.4,2.2,1,1,3,5,3,4,4,2,3,3,3,3,4,3,4,,4,3,3,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,,3,2,37,Valencia,española,4,trabajadorasocial
1,1,1,1,4,4,5.33333333333333,5.5,2.2,1,1,1,6,2,6,5,1,3,6,6,5,6,6,6,6,6,5,5,5,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,4,2,29,Ceuta,Colombiana,4,Militar
2,1,1,1,4,3,3.16666666666667,2,2.4,1,1,2,4,3,5,4,3,3,3,3,3,3,4,2,2,2,2,2,2,1,1,3,2,3,2,2,1,1,1,1,1,1,1,1,1,2,2,41,Madrid,,4,TECNICOLABORATORIO
1,1,1,1,5,4,3,2.5,2.4,1,1,2,4,2,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,3,1,3,3,2,1,1,1,1,1,1,1,1,1,3,1,41,Cádiz,español,1,albañil
2,1,1,1,6,5,4.33333333333333,3.33333333333333,2.4,1,1,2,4,2,5,5,3,5,4,4,5,4,4,3,4,4,3,3,3,1,1,3,1,3,3,2,1,1,1,1,1,1,1,1,1,3,2,48,Vizcaya,española,3,profesorademúsica
2,1,1,1,6,6,4.16666666666667,2.5,2.6,1,1,3,4,4,4,3,3,4,3,4,4,5,5,2,3,2,2,2,4,1,1,4,1,3,4,1,1,1,1,1,1,1,1,1,1,2,2,38,Madrid,España,1,
1,1,1,1,4,6,3.66666666666667,2.66666666666667,2.6,1,1,2,6,1,5,6,1,3,5,4,3,3,4,2,3,3,2,3,3,1,1,4,1,3,3,2,1,1,1,1,1,1,1,1,1,2,2,65,Valladolid,española,2,calderero-soldador
2,1,1,1,6,5,4.33333333333333,2.8,2.6,1,1,2,6,2,5,5,1,4,4,5,5,4,4,3,3,3,2,3,,1,1,3,2,3,3,2,1,1,1,1,1,1,1,1,1,3,2,44,Valladolid,,4,maestra
1,1,1,1,4,4,3.66666666666667,2.83333333333333,2.6,1,1,3,6,1,4,6,1,4,3,3,4,4,4,3,3,4,2,2,3,1,1,3,2,3,3,2,1,1,1,1,1,1,1,1,1,3,2,47,Valladolid,española,3,funcionario
1,1,1,1,6,5,4.5,3.16666666666667,2.6,1,1,1,3,2,6,5,4,5,4,5,4,4,5,3,3,4,3,3,3,1,1,3,2,3,3,2,1,1,1,1,1,1,1,1,1,2,1,34,Barcelona,española,4,informático
1,1,1,1,6,5,4.83333333333333,3.66666666666667,2.6,1,1,1,6,2,6,5,1,5,5,5,5,4,5,3,4,5,3,4,3,1,1,4,1,5,2,1,1,1,1,1,1,1,1,1,1,1,0,28,Barcelona,Española,4,Técnicodelaboratorio
